"Year","Paper","Location","Sentence"
2018,"paper662","Abstract","Our pilot study shows that our system allows both users with or without animation skills to easily add dynamic deformation to static drawings."
2012,"p1529","Abstract","Our empirical material allows to describe reasons and conditions for improvisation."
2012,"p1529","Abstract","Our resulting recommendations address the support of aggregation and visualization of information, a necessary individualization of information compositions, options for collaborative situation assessment, requirements for informal and formal communication, and accessibility of information resources."
2010,"p1475-oulasvirta","Abstract","Results from a case study (mobile text entry) illustrate how an interface that is superior to others in absolute terms is the worst from the multimodal flexibility perspective."
2018,"paper501","Abstract","Four measurement tests and four user tests confirmed that 1) a combination of two orthogonal asymmetric vibrations could provide a 2D virtual force in any tangential directions on a finger pad, and 2) a single voicecoil actuator produced pseudo-force feedback of the complex compliance curves in the normal direction."
2014,"p197","Abstract","The results confirm that the dual-view problem, a result of dual perspective, has a significant effect on the use of information from the surrounding visual context."
2014,"p197","Abstract","The study also highlights that magnification and not the dual-view problem is the key factor explaining the correlation between magic lens size and the increased intensity of the magic lens type effect."
2012,"p2127","Abstract","Analysis is typically flexible and light-weight."
2012,"p2127","Abstract","At the same time, practitioners see a need to strengthen reliability in evaluation."
2012,"p2127","Abstract","Redesign is closely integrated with analysis; more than half of the respondents provide visual redesign suggestions in their evaluation deliverables."
2012,"p2127","Abstract","Analysis support from academic research, including tools, forms and structured formats, does not seem to have direct impact on analysis practice."
2012,"p2489","Abstract","A design walkthrough with experienced CogTool users reveal that CogTool-Helper resonates with a “pain point” of real-world modeling and provide suggestions for future work."
2018,"paper639","Abstract","Our findings highlight the human infrastructure that supports this offline internet, rendered visible through the lens of articulation work."
2018,"paper639","Abstract","By offering an in-depth perspective into these workings of El Paquete, we aim to challenge established notions of what an (or the) internet “should” look like in more and less “developed” contexts."
2018,"paper639","Abstract","We highlight how El Paquete is a non-standardized and non-neutral internet, but still humancentered."
2018,"paper639","Abstract","We also offer an enriched understanding of how an entirely offline internet can provide expansive information access to support leisure and livelihood, additionally serving as a locally relevant platform that affords local participation."
2010,"p329-dearman","Abstract","We show that top and regular contributors experience the same reasons to not answer a question: subject nature and composition of the question; perception of how the questioner will receive, interpret and react to their response; and a belief that their response will lose its meaning and get lost in the crowd if too many responses have already been given."
2012,"p2461","Abstract","Results indicated that, in general, contextual information provides more useful information for making expertise judgment of Twitter users than tweets."
2012,"p2461","Abstract","While the addition of tweets seems to make little difference, or even add nuances to novices’ expertise judgment, experts’ judgments were improved when both content and contextual information were presented."
2014,"p843","Abstract","NS spoke more clearly, and both NS and NNS rated the quality of communication higher, when transcripts were publicly shared."
2016,"p5801-jalaliniya","Abstract","We conducted an experiment that shows the performance of the proposed approach."
2016,"p5801-jalaliniya","Abstract","Our study shows that by selecting an appropriate speed and maximum number of visible images in the screen the proposed method can be used in a fast scrolling task where the system accurately (87%) detects the moving images that are visually appealing to the user, stops the scrolling and brings the item(s) of interest back to the screen."
2018,"paper12","Abstract","Our qualitative insights on social media representations of transitional experience and identity for new parents, reveal how their online ‘photowork’ related to self-expression and social functioning."
2014,"p487","Abstract","The findings, which both support and contrast with those of previous research, paint a picture of the evolving benefits and practices surrounding these emerging technologies over long periods of use."
2018,"paper349","Abstract","Our results suggest that the design of gaze visualizations affects performance, coordination, searching behavior, and perceived utility."
2018,"paper349","Abstract","Additionally, the degree of task coupling further influences the effect of gaze visualizations on performance and coordination."
2018,"paper521","Abstract","Additionally, we conduct experimental studies that demonstrate that our technology has a recognition accuracy of resistance value of 97%."
2016,"p6040-shin","Abstract","The study showed that RNI model has a potential to increase efficacy, in terms of behavior change, compared to conventional notification approaches."
2016,"p6040-shin","Abstract","The most influential factor of RNI model in the changing the behavior of target users was the intention to avoid discomforting their helpers."
2016,"p6040-shin","Abstract","RNI model also showed a potential to help unmotivated individuals in behavior change."
2016,"p3834-nebeling","Abstract","In a week-long study with seven smartwatch users supported by approximately 29 crowd workers each, we val­idate that it is possible to manage the crowd writing process from a watch."
2016,"p3834-nebeling","Abstract","Watch users captured new ideas as they came to mind and managed a crowd during spare moments while go­ ing about their daily routine."
2012,"p1491","Abstract","The main result from this analysis shows that design discussions having participants with more experience and prior interaction are more likely to reach consensus."
2012,"p1491","Abstract","Based on all of our results, we formulated design implications for promoting consensus in distributed discussions of user interface design issues."
2012,"p1411","Abstract","Through interviews with these patients, their visitors, and hospital staff, we explore the benefits and challenges of using the mobile phone as an information display, finding overall that this is a promising approach to improving patient awareness."
2012,"p1411","Abstract","Furthermore, we demonstrate that only a small number of technology challenges remain before such a system could be deployed without researcher intervention."
2018,"paper63","Abstract","In our survey, we found that makers remix such machines by manually extracting parts from one parent model and combine them with parts from a different parent model."
2018,"paper63","Abstract","In a final user study, all models that participants had remixed using grafter could be 3D printed without further tweaking and worked immediately."
2010,"p763-muller","Abstract","Factor analyses revealed four factors: Upload & Publicize (regarding one’s own files); Annotate & Watch (add information to files and maintain awareness); Discover & Tell (find files uploaded by other users, and communicate to additional users about those files); and Refind (re-use one’s own files)."
2016,"p733-hagiya","Abstract","By conducting two user studies, we clarify the common difficulties that novice older adults experience and how skill level is related to input stumbles."
2016,"p733-hagiya","Abstract","A two-week evaluation experiment with novice older adults (65+) showed that Typing Tutor was effective in improving their text entry proficiency, especially in the initial stage of use."
2014,"p361","Abstract","Our results show that heatmaps were mainly used to detect hot spots while the cluster representations proved useful to compare variables, allowing the players to uncover relationships between them and in turn allowing a deeper insight into the gameplay data."
2010,"p723-li","Abstract","Overall, we found that ActionShot’s history features provide value beyond typical browser history interfaces."
2018,"paper203","Abstract","Further, we suggest that technology should not try and replace human assistance, but instead enable people with VI to better identify and interact with other people in-situ."
2018,"paper185","Abstract","Our evaluation study shows this hybrid technique to be easy to use in situ and effective in transcending the creative potential of either traditional sketching or drawing in air."
2012,"p1549","Abstract","Our initial evaluation shows that across a corpus of dozens of tasks and thousands of requests, LemonAid retrieved a result for 90% of help requests based on UI selections and, of those, over half had relevant matches in the top 2 results."
